30393,234,3 
P-257,U3,39,11,130,106,62,184
P-221,U3,38,18,184,106,62,233
P-226,U3,114,244,0,186,318,60
P-315,U3,94,243,93,144,318,146
P-14,U3,98,237,146,143,318,192
P-85,U3,94,250,192,141,318,236
P-23,U3,134,109,0,244,159,51
P-15,U3,51,111,61,135,160,121
P-272,U3,27,158,123,91,233,163
P-206,U3,0,127,168,47,168,228
P-117,U3,39,168,163,91,233,212
P-320,U3,47,105,121,111,158,178
P-380,U3,60,112,178,101,168,240
P-387,U3,91,190,123,133,237,219
P-42,U3,135,118,51,244,159,113
P-162,U3,140,63,0,244,109,65
P-86,U3,94,64,127,159,105,190
P-150,U3,101,72,190,159,114,244
P-280,U3,154,159,0,244,220,53
P-266,U3,156,159,53,244,220,106
P-230,U3,111,114,121,159,160,207
P-202,U3,135,174,106,175,226,200
P-326,U3,160,127,113,244,172,164
P-216,U3,161,74,65,244,118,129
P-112,U3,165,0,0,244,63,67
P-66,U3,111,12,89,197,62,136
P-270,U3,114,12,136,184,64,183
P-345,U3,106,21,183,184,64,230
P-25,U3,167,77,129,244,121,182
P-80,U3,159,78,182,244,121,226
P-181,U3,186,220,0,244,318,57
P-71,U3,144,258,60,187,318,159
P-276,U3,175,172,106,244,234,152
P-271,U3,143,226,159,187,318,200
P-393,U3,133,175,200,180,240,244
P-130,U3,141,240,200,186,318,240
P-48,U3,179,121,164,244,174,212
P-400,U3,180,174,152,244,226,202
P-205,U3,197,34,67,244,74,176
P-265,U3,184,30,176,244,77,234
P-232,U3,197,234,57,244,318,124
P-152,U3,187,251,124,244,318,173
P-357,U3,186,197,202,244,253,242
P-147,U3,189,253,173,244,318,219
P-92,U4,0,0,0,58,58,65
P-378,U4,0,58,0,53,117,89
P-209,U4,0,42,89,44,117,161
P-29,U4,0,117,0,62,203,53
P-170,U4,0,117,53,44,217,134
P-37,U4,0,242,0,59,318,51
P-19,U4,0,231,51,51,318,120
P-248,U4,58,0,0,135,67,52
P-363,U4,58,0,52,130,67,131
P-398,U4,45,0,131,130,52,234
P-97,U4,59,225,0,112,318,53
P-331,U4,59,230,53,102,318,124
P-391,U4,15,245,124,102,318,189
P-208,U4,0,229,189,102,318,239
P-32,U4,62,159,0,132,203,98
P-5,U4,71,67,0,135,155,58
P-218,U4,58,67,58,135,157,117
P-35,U4,0,54,161,72,117,244
P-102,U4,0,117,134,64,223,204
P-354,U4,65,173,98,135,225,168
P-54,U4,76,67,117,135,173,168
P-373,U4,73,141,168,135,225,240
P-96,U4,80,52,168,130,136,233
P-355,U4,135,190,0,180,250,52
P-324,U4,140,250,0,180,318,41
P-269,U4,124,260,41,180,318,115
P-225,U4,102,250,115,156,318,208
P-167,U4,144,53,0,244,100,50
P-1,U4,145,0,0,244,53,55
P-76,U4,148,53,50,244,93,142
P-186,U4,151,0,55,244,47,139
P-159,U4,130,0,139,182,50,231
P-27,U4,151,100,0,244,162,49
P-242,U4,155,100,49,244,153,118
P-339,U4,168,99,118,244,153,194
P-65,U4,134,60,194,244,138,244
P-385,U4,180,208,0,244,256,40
P-12,U4,135,162,52,183,250,132
P-231,U4,135,154,132,184,250,200
P-246,U4,183,0,142,244,60,244
P-40,U4,199,162,40,244,232,130
P-123,U4,201,256,0,244,318,40
P-317,U4,191,232,40,244,318,90
P-244,U4,160,256,115,236,318,190
P-335,U4,187,162,130,244,253,225
P-346,U5,3,208,0,86,318,95
P-365,U5,5,3,0,93,113,95
P-211,U5,5,113,0,101,208,81
P-356,U5,0,113,81,77,208,180
P-333,U5,5,118,180,77,218,265
P-283,U5,10,218,95,76,318,192
P-142,U5,2,226,192,76,318,275
P-297,U5,86,215,0,154,318,101
P-252,U5,93,3,0,141,113,95
P-300,U5,4,3,95,101,72,196
P-222,U5,13,72,95,101,113,168
P-299,U5,2,29,196,85,116,276
P-49,U5,101,115,0,141,215,69
P-133,U5,77,117,81,140,208,190
P-165,U5,141,32,0,244,128,93
P-68,U5,101,25,95,147,117,176
P-105,U5,141,128,0,244,208,95
P-41,U5,140,118,95,244,208,163
P-134,U5,147,24,93,244,104,181
P-73,U5,85,12,196,148,116,282
P-139,U5,148,20,181,244,104,256
P-394,U5,154,209,0,244,318,81
P-148,U5,89,218,101,156,318,150
P-274,U5,156,208,81,244,318,156
P-215,U5,76,231,156,165,318,236
P-255,U5,92,116,190,190,212,254
P-145,U5,165,212,156,244,318,231
P-163,U5,85,235,236,168,318,285
P-360,U5,168,238,231,244,318,284
P-277,U5,190,104,163,244,212,268
P-319,U6,1,163,0,103,211,101
P-129,U6,4,6,0,114,65,85
P-125,U6,11,78,0,79,163,91
P-282,U6,11,211,0,103,318,54
P-157,U6,14,173,101,102,227,189
P-2,U6,15,4,85,114,60,166
P-124,U6,2,6,166,106,60,238
P-69,U6,22,6,238,106,60,285
P-273,U6,28,233,54,107,318,125
P-6,U6,10,227,125,66,318,209
P-168,U6,79,65,0,147,152,88
P-94,U6,19,65,91,86,163,157
P-46,U6,7,60,157,69,131,251
P-219,U6,86,76,88,147,152,182
P-187,U6,12,131,189,96,209,243
P-264,U6,103,152,0,171,212,108
P-20,U6,107,212,0,163,318,88
P-188,U6,66,232,125,117,318,176
P-295,U6,29,209,209,78,318,278
P-3,U6,114,14,0,156,65,101
P-10,U6,156,82,0,244,152,85
P-82,U6,147,86,85,244,152,156
P-36,U6,158,2,0,244,82,78
P-9,U6,156,9,78,244,82,149
P-329,U6,70,66,182,164,131,240
P-366,U6,139,10,149,244,66,220
P-207,U6,69,61,240,164,131,285
P-305,U6,106,8,220,164,61,283
P-45,U6,163,227,0,244,318,72
P-106,U6,117,226,88,171,318,178
P-224,U6,91,250,178,190,318,234
P-103,U6,78,240,234,180,318,278
P-180,U6,164,9,220,244,80,279
P-50,U6,171,163,0,244,227,104
P-284,U6,102,174,108,172,226,218
P-217,U6,166,100,156,244,174,228
P-183,U6,172,180,104,244,237,209
P-109,U6,96,142,228,175,240,272
P-238,U6,175,80,228,244,182,278
P-285,U6,190,237,72,244,318,180
P-153,U6,180,182,209,244,244,260
P-212,U6,196,244,180,244,318,285
P-7,NONE,-1,-1,-1,-1,-1,-1
P-8,NONE,-1,-1,-1,-1,-1,-1
P-11,NONE,-1,-1,-1,-1,-1,-1
P-13,NONE,-1,-1,-1,-1,-1,-1
P-18,NONE,-1,-1,-1,-1,-1,-1
P-21,NONE,-1,-1,-1,-1,-1,-1
P-22,NONE,-1,-1,-1,-1,-1,-1
P-24,NONE,-1,-1,-1,-1,-1,-1
P-28,NONE,-1,-1,-1,-1,-1,-1
P-30,NONE,-1,-1,-1,-1,-1,-1
P-33,NONE,-1,-1,-1,-1,-1,-1
P-34,NONE,-1,-1,-1,-1,-1,-1
P-38,NONE,-1,-1,-1,-1,-1,-1
P-43,NONE,-1,-1,-1,-1,-1,-1
P-47,NONE,-1,-1,-1,-1,-1,-1
P-51,NONE,-1,-1,-1,-1,-1,-1
P-52,NONE,-1,-1,-1,-1,-1,-1
P-55,NONE,-1,-1,-1,-1,-1,-1
P-56,NONE,-1,-1,-1,-1,-1,-1
P-58,NONE,-1,-1,-1,-1,-1,-1
P-60,NONE,-1,-1,-1,-1,-1,-1
P-61,NONE,-1,-1,-1,-1,-1,-1
P-62,NONE,-1,-1,-1,-1,-1,-1
P-63,NONE,-1,-1,-1,-1,-1,-1
P-64,NONE,-1,-1,-1,-1,-1,-1
P-67,NONE,-1,-1,-1,-1,-1,-1
P-70,NONE,-1,-1,-1,-1,-1,-1
P-72,NONE,-1,-1,-1,-1,-1,-1
P-74,NONE,-1,-1,-1,-1,-1,-1
P-79,NONE,-1,-1,-1,-1,-1,-1
P-81,NONE,-1,-1,-1,-1,-1,-1
P-83,NONE,-1,-1,-1,-1,-1,-1
P-84,NONE,-1,-1,-1,-1,-1,-1
P-88,NONE,-1,-1,-1,-1,-1,-1
P-89,NONE,-1,-1,-1,-1,-1,-1
P-90,NONE,-1,-1,-1,-1,-1,-1
P-91,NONE,-1,-1,-1,-1,-1,-1
P-93,NONE,-1,-1,-1,-1,-1,-1
P-95,NONE,-1,-1,-1,-1,-1,-1
P-98,NONE,-1,-1,-1,-1,-1,-1
P-100,NONE,-1,-1,-1,-1,-1,-1
P-101,NONE,-1,-1,-1,-1,-1,-1
P-104,NONE,-1,-1,-1,-1,-1,-1
P-107,NONE,-1,-1,-1,-1,-1,-1
P-108,NONE,-1,-1,-1,-1,-1,-1
P-110,NONE,-1,-1,-1,-1,-1,-1
P-111,NONE,-1,-1,-1,-1,-1,-1
P-113,NONE,-1,-1,-1,-1,-1,-1
P-114,NONE,-1,-1,-1,-1,-1,-1
P-115,NONE,-1,-1,-1,-1,-1,-1
P-116,NONE,-1,-1,-1,-1,-1,-1
P-118,NONE,-1,-1,-1,-1,-1,-1
P-121,NONE,-1,-1,-1,-1,-1,-1
P-127,NONE,-1,-1,-1,-1,-1,-1
P-128,NONE,-1,-1,-1,-1,-1,-1
P-131,NONE,-1,-1,-1,-1,-1,-1
P-132,NONE,-1,-1,-1,-1,-1,-1
P-137,NONE,-1,-1,-1,-1,-1,-1
P-138,NONE,-1,-1,-1,-1,-1,-1
P-140,NONE,-1,-1,-1,-1,-1,-1
P-143,NONE,-1,-1,-1,-1,-1,-1
P-144,NONE,-1,-1,-1,-1,-1,-1
P-151,NONE,-1,-1,-1,-1,-1,-1
P-154,NONE,-1,-1,-1,-1,-1,-1
P-155,NONE,-1,-1,-1,-1,-1,-1
P-158,NONE,-1,-1,-1,-1,-1,-1
P-160,NONE,-1,-1,-1,-1,-1,-1
P-161,NONE,-1,-1,-1,-1,-1,-1
P-166,NONE,-1,-1,-1,-1,-1,-1
P-173,NONE,-1,-1,-1,-1,-1,-1
P-174,NONE,-1,-1,-1,-1,-1,-1
P-175,NONE,-1,-1,-1,-1,-1,-1
P-176,NONE,-1,-1,-1,-1,-1,-1
P-178,NONE,-1,-1,-1,-1,-1,-1
P-182,NONE,-1,-1,-1,-1,-1,-1
P-184,NONE,-1,-1,-1,-1,-1,-1
P-190,NONE,-1,-1,-1,-1,-1,-1
P-191,NONE,-1,-1,-1,-1,-1,-1
P-193,NONE,-1,-1,-1,-1,-1,-1
P-195,NONE,-1,-1,-1,-1,-1,-1
P-196,NONE,-1,-1,-1,-1,-1,-1
P-197,NONE,-1,-1,-1,-1,-1,-1
P-200,NONE,-1,-1,-1,-1,-1,-1
P-201,NONE,-1,-1,-1,-1,-1,-1
P-203,NONE,-1,-1,-1,-1,-1,-1
P-204,NONE,-1,-1,-1,-1,-1,-1
P-210,NONE,-1,-1,-1,-1,-1,-1
P-213,NONE,-1,-1,-1,-1,-1,-1
P-223,NONE,-1,-1,-1,-1,-1,-1
P-228,NONE,-1,-1,-1,-1,-1,-1
P-229,NONE,-1,-1,-1,-1,-1,-1
P-233,NONE,-1,-1,-1,-1,-1,-1
P-235,NONE,-1,-1,-1,-1,-1,-1
P-237,NONE,-1,-1,-1,-1,-1,-1
P-239,NONE,-1,-1,-1,-1,-1,-1
P-240,NONE,-1,-1,-1,-1,-1,-1
P-241,NONE,-1,-1,-1,-1,-1,-1
P-243,NONE,-1,-1,-1,-1,-1,-1
P-245,NONE,-1,-1,-1,-1,-1,-1
P-247,NONE,-1,-1,-1,-1,-1,-1
P-249,NONE,-1,-1,-1,-1,-1,-1
P-250,NONE,-1,-1,-1,-1,-1,-1
P-251,NONE,-1,-1,-1,-1,-1,-1
P-253,NONE,-1,-1,-1,-1,-1,-1
P-254,NONE,-1,-1,-1,-1,-1,-1
P-256,NONE,-1,-1,-1,-1,-1,-1
P-259,NONE,-1,-1,-1,-1,-1,-1
P-262,NONE,-1,-1,-1,-1,-1,-1
P-263,NONE,-1,-1,-1,-1,-1,-1
P-267,NONE,-1,-1,-1,-1,-1,-1
P-268,NONE,-1,-1,-1,-1,-1,-1
P-279,NONE,-1,-1,-1,-1,-1,-1
P-281,NONE,-1,-1,-1,-1,-1,-1
P-286,NONE,-1,-1,-1,-1,-1,-1
P-287,NONE,-1,-1,-1,-1,-1,-1
P-288,NONE,-1,-1,-1,-1,-1,-1
P-290,NONE,-1,-1,-1,-1,-1,-1
P-292,NONE,-1,-1,-1,-1,-1,-1
P-293,NONE,-1,-1,-1,-1,-1,-1
P-294,NONE,-1,-1,-1,-1,-1,-1
P-296,NONE,-1,-1,-1,-1,-1,-1
P-298,NONE,-1,-1,-1,-1,-1,-1
P-301,NONE,-1,-1,-1,-1,-1,-1
P-302,NONE,-1,-1,-1,-1,-1,-1
P-303,NONE,-1,-1,-1,-1,-1,-1
P-306,NONE,-1,-1,-1,-1,-1,-1
P-308,NONE,-1,-1,-1,-1,-1,-1
P-309,NONE,-1,-1,-1,-1,-1,-1
P-311,NONE,-1,-1,-1,-1,-1,-1
P-312,NONE,-1,-1,-1,-1,-1,-1
P-314,NONE,-1,-1,-1,-1,-1,-1
P-316,NONE,-1,-1,-1,-1,-1,-1
P-318,NONE,-1,-1,-1,-1,-1,-1
P-321,NONE,-1,-1,-1,-1,-1,-1
P-323,NONE,-1,-1,-1,-1,-1,-1
P-325,NONE,-1,-1,-1,-1,-1,-1
P-328,NONE,-1,-1,-1,-1,-1,-1
P-330,NONE,-1,-1,-1,-1,-1,-1
P-332,NONE,-1,-1,-1,-1,-1,-1
P-338,NONE,-1,-1,-1,-1,-1,-1
P-340,NONE,-1,-1,-1,-1,-1,-1
P-342,NONE,-1,-1,-1,-1,-1,-1
P-343,NONE,-1,-1,-1,-1,-1,-1
P-344,NONE,-1,-1,-1,-1,-1,-1
P-347,NONE,-1,-1,-1,-1,-1,-1
P-348,NONE,-1,-1,-1,-1,-1,-1
P-349,NONE,-1,-1,-1,-1,-1,-1
P-358,NONE,-1,-1,-1,-1,-1,-1
P-359,NONE,-1,-1,-1,-1,-1,-1
P-362,NONE,-1,-1,-1,-1,-1,-1
P-364,NONE,-1,-1,-1,-1,-1,-1
P-367,NONE,-1,-1,-1,-1,-1,-1
P-368,NONE,-1,-1,-1,-1,-1,-1
P-370,NONE,-1,-1,-1,-1,-1,-1
P-372,NONE,-1,-1,-1,-1,-1,-1
P-374,NONE,-1,-1,-1,-1,-1,-1
P-376,NONE,-1,-1,-1,-1,-1,-1
P-377,NONE,-1,-1,-1,-1,-1,-1
P-379,NONE,-1,-1,-1,-1,-1,-1
P-383,NONE,-1,-1,-1,-1,-1,-1
P-386,NONE,-1,-1,-1,-1,-1,-1
P-388,NONE,-1,-1,-1,-1,-1,-1
P-389,NONE,-1,-1,-1,-1,-1,-1
P-390,NONE,-1,-1,-1,-1,-1,-1
P-395,NONE,-1,-1,-1,-1,-1,-1
P-396,NONE,-1,-1,-1,-1,-1,-1
